#,Name,Type,Height (ft),Height (m),Weight (lbs),Weight (kgs),BMI
345,Lileep,"Rock
 Grass",303,1,52.5,23.8,23.8
346,Cradily,"Rock
 Grass",411,1.5,133.2,60.4,26.8
347,Anorith,"Rock
 Bug",204,0.7,27.6,12.5,25.5
348,Armaldo,"Rock
 Bug",411,1.5,150.4,68.2,30.3
349,Feebas,Water,200,0.6,16.3,7.4,20.6
350,Milotic,Water,2004,6.2,357.1,162,4.2
351,Castform,Normal,100,0.3,1.8,0.8,8.9
351,"Castform
 Sunny Form",Fire,100,0.3,1.8,0.8,8.9
351,"Castform
 Rainy Form",Water,100,0.3,1.8,0.8,8.9
351,"Castform
 Snowy Form",Ice,100,0.3,1.8,0.8,8.9
352,Kecleon,Normal,303,1,48.5,22,22
353,Shuppet,Ghost,200,0.6,5.1,2.3,6.4
354,Banette,Ghost,307,1.1,27.6,12.5,10.3
354,"Banette
 Mega Banette",Ghost,311,1.2,28.7,13,9
355,Duskull,Ghost,207,0.8,33.1,15,23.4
356,Dusclops,Ghost,503,1.6,67.5,30.6,12
357,Tropius,"Grass
 Flying",607,2,220.5,100,25
358,Chimecho,Psychic,200,0.6,2.2,1,2.8
359,Absol,Dark,311,1.2,103.6,47,32.6
359,"Absol
 Mega Absol",Dark,311,1.2,108,49,34
360,Wynaut,Psychic,200,0.6,30.9,14,38.9
361,Snorunt,Ice,204,0.7,37,16.8,34.3
362,Glalie,Ice,411,1.5,565.5,256.5,114
362,"Glalie
 Mega Glalie",Ice,611,2.1,772.1,350.2,79.4
363,Spheal,"Ice
 Water",207,0.8,87.1,39.5,61.7
364,Sealeo,"Ice
 Water",307,1.1,193.1,87.6,72.4
365,Walrein,"Ice
 Water",407,1.4,332,150.6,76.8
366,Clamperl,Water,104,0.4,115.7,52.5,328.1
367,Huntail,Water,507,1.7,59.5,27,9.3
368,Gorebyss,Water,511,1.8,49.8,22.6,7
369,Relicanth,"Water
 Rock",303,1,51.6,23.4,23.4
370,Luvdisc,Water,200,0.6,19.2,8.7,24.2
371,Bagon,Dragon,200,0.6,92.8,42.1,116.9
372,Shelgon,Dragon,307,1.1,243.6,110.5,91.3
373,Salamence,"Dragon
 Flying",411,1.5,226.2,102.6,45.6
373,"Salamence
 Mega Salamence","Dragon
 Flying",511,1.8,248.2,112.6,34.8
374,Beldum,"Steel
 Psychic",200,0.6,209.9,95.2,264.4
375,Metang,"Steel
 Psychic",311,1.2,446.4,202.5,140.6
376,Metagross,"Steel
 Psychic",503,1.6,1212.5,550,214.8
376,"Metagross
 Mega Metagross","Steel
 Psychic",802,2.5,2078.7,942.9,150.9
377,Regirock,Rock,507,1.7,507.1,230,79.6
378,Regice,Ice,511,1.8,385.8,175,54
379,Registeel,Steel,603,1.9,451.9,205,56.8
380,Latias,"Dragon
 Psychic",407,1.4,88.2,40,20.4
380,"Latias
 Mega Latias","Dragon
 Psychic",511,1.8,114.6,52,16
381,Latios,"Dragon
 Psychic",607,2,132.3,60,15
381,"Latios
 Mega Latios","Dragon
 Psychic",707,2.3,154.3,70,13.2
382,Kyogre,Water,1409,4.5,776,352,17.4
382,"Kyogre
 Primal Kyogre",Water,3202,9.8,948,430,4.5
383,Groudon,Ground,1106,3.5,2094.4,950,77.6
383,"Groudon
 Primal Groudon","Ground
 Fire",1605,5,2204,999.7,40
384,Rayquaza,"Dragon
 Flying",2300,7,455.3,206.5,4.2
384,"Rayquaza
 Mega Rayquaza","Dragon
 Flying",3505,10.8,864.2,392,3.4
385,Jirachi,"Steel
 Psychic",100,0.3,2.4,1.1,12.2
386,"Deoxys
 Normal Forme",Psychic,507,1.7,134,60.8,21
386,"Deoxys
 Attack Forme",Psychic,507,1.7,134,60.8,21
386,"Deoxys
 Defense Forme",Psychic,507,1.7,134,60.8,21
386,"Deoxys
 Speed Forme",Psychic,507,1.7,134,60.8,21
387,Turtwig,Grass,104,0.4,22.5,10.2,63.8
388,Grotle,Grass,307,1.1,213.8,97,80.2
389,Torterra,"Grass
 Ground",703,2.2,683.4,310,64
390,Chimchar,Fire,108,0.5,13.7,6.2,24.8
391,Monferno,"Fire
 Fighting",211,0.9,48.5,22,27.2
392,Infernape,"Fire
 Fighting",311,1.2,121.3,55,38.2
393,Piplup,Water,104,0.4,11.5,5.2,32.5
394,Prinplup,Water,207,0.8,50.7,23,35.9
395,Empoleon,"Water
 Steel",507,1.7,186.3,84.5,29.2
396,Starly,"Normal
 Flying",100,0.3,4.4,2,22.2
397,Staravia,"Normal
 Flying",200,0.6,34.2,15.5,43.1
398,Staraptor,"Normal
 Flying",311,1.2,54.9,24.9,17.3
399,Bidoof,Normal,108,0.5,44.1,20,80
400,Bibarel,"Normal
 Water",303,1,69.4,31.5,31.5
401,Kricketot,Bug,100,0.3,4.9,2.2,24.4
402,Kricketune,Bug,303,1,56.2,25.5,25.5
403,Shinx,Electric,108,0.5,20.9,9.5,38
404,Luxio,Electric,211,0.9,67.2,30.5,37.7
405,Luxray,Electric,407,1.4,92.6,42,21.4
406,Budew,"Grass
 Poison",8,0.2,2.6,1.2,30
407,Roserade,"Grass
 Poison",211,0.9,32,14.5,17.9
408,Cranidos,Rock,211,0.9,69.4,31.5,38.9
409,Rampardos,Rock,503,1.6,226,102.5,40
410,Shieldon,"Rock
 Steel",108,0.5,125.7,57,228
411,Bastiodon,"Rock
 Steel",403,1.3,329.6,149.5,88.5
412,"Burmy
 Plant Cloak",Bug,8,0.2,7.5,3.4,85
412,"Burmy
 Sandy Cloak",Bug,8,0.2,7.5,3.4,85
412,"Burmy
 Trash Cloak",Bug,8,0.2,7.5,3.4,85
413,"Wormadam
 Plant Cloak","Bug
 Grass",108,0.5,14.3,6.5,26
413,"Wormadam
 Sandy Cloak","Bug
 Ground",108,0.5,14.3,6.5,26
413,"Wormadam
 Trash Cloak","Bug
 Steel",108,0.5,14.3,6.5,26
414,Mothim,"Bug
 Flying",211,0.9,51.4,23.3,28.8
415,Combee,"Bug
 Flying",100,0.3,12.1,5.5,61.1
416,Vespiquen,"Bug
 Flying",311,1.2,84.9,38.5,26.7
417,Pachirisu,Electric,104,0.4,8.6,3.9,24.4
418,Buizel,Water,204,0.7,65,29.5,60.2
419,Floatzel,Water,307,1.1,73.9,33.5,27.7
420,Cherubi,Grass,104,0.4,7.3,3.3,20.6
421,Cherrim,Grass,108,0.5,20.5,9.3,37.2
422,Shellos,Water,100,0.3,13.9,6.3,70
423,Gastrodon,"Water
 Ground",211,0.9,65.9,29.9,36.9
424,Ambipom,Normal,311,1.2,44.8,20.3,14.1
425,Drifloon,"Ghost
 Flying",104,0.4,2.6,1.2,7.5
426,Drifblim,"Ghost
 Flying",311,1.2,33.1,15,10.4
427,Buneary,Normal,104,0.4,12.1,5.5,34.4
428,Lopunny,Normal,311,1.2,73.4,33.3,23.1
428,"Lopunny
 Mega Lopunny","Normal
 Fighting",403,1.3,62.4,28.3,16.7
429,Mismagius,Ghost,211,0.9,9.7,4.4,5.4
430,Honchkrow,"Dark
 Flying",211,0.9,60.2,27.3,33.7
431,Glameow,Normal,108,0.5,8.6,3.9,15.6
432,Purugly,Normal,303,1,96.6,43.8,43.8
433,Chingling,Psychic,8,0.2,1.3,0.6,15
434,Stunky,"Poison
 Dark",104,0.4,42.3,19.2,120
435,Skuntank,"Poison
 Dark",303,1,83.8,38,38
436,Bronzor,"Steel
 Psychic",108,0.5,133.4,60.5,242
437,Bronzong,"Steel
 Psychic",403,1.3,412.3,187,110.7
438,Bonsly,Rock,108,0.5,33.1,15,60
439,Mime Jr.,"Psychic
 Fairy",200,0.6,28.7,13,36.1
440,Happiny,Normal,200,0.6,53.8,24.4,67.8
441,Chatot,"Normal
 Flying",108,0.5,4.2,1.9,7.6
442,Spiritomb,"Ghost
 Dark",303,1,238.1,108,108
443,Gible,"Dragon
 Ground",204,0.7,45.2,20.5,41.8
444,Gabite,"Dragon
 Ground",407,1.4,123.5,56,28.6
445,Garchomp,"Dragon
 Ground",603,1.9,209.4,95,26.3
445,"Garchomp
 Mega Garchomp","Dragon
 Ground",603,1.9,209.4,95,26.3
446,Munchlax,Normal,200,0.6,231.5,105,291.7
447,Riolu,Fighting,204,0.7,44.5,20.2,41.2
448,Lucario,"Fighting
 Steel",311,1.2,119,54,37.5
448,"Lucario
 Mega Lucario","Fighting
 Steel",403,1.3,126.8,57.5,34
449,Hippopotas,Ground,207,0.8,109.1,49.5,77.3
450,Hippowdon,Ground,607,2,661.4,300,75
451,Skorupi,"Poison
 Bug",207,0.8,26.5,12,18.8
452,Drapion,"Poison
 Dark",403,1.3,135.6,61.5,36.4
453,Croagunk,"Poison
 Fighting",204,0.7,50.7,23,46.9
454,Toxicroak,"Poison
 Fighting",403,1.3,97.9,44.4,26.3
455,Carnivine,Grass,407,1.4,59.5,27,13.8
456,Finneon,Water,104,0.4,15.4,7,43.8
457,Lumineon,Water,311,1.2,52.9,24,16.7
458,Mantyke,"Water
 Flying",303,1,143.3,65,65
459,Snover,"Grass
 Ice",303,1,111.3,50.5,50.5
460,Abomasnow,"Grass
 Ice",703,2.2,298.7,135.5,28
460,"Abomasnow
 Mega Abomasnow","Grass
 Ice",810,2.7,407.9,185,25.4
461,Weavile,"Dark
 Ice",307,1.1,75,34,28.1
462,Magnezone,"Electric
 Steel",311,1.2,396.8,180,125
463,Lickilicky,Normal,507,1.7,308.6,140,48.4
464,Rhyperior,"Ground
 Rock",710,2.4,623.5,282.8,49.1
465,Tangrowth,Grass,607,2,283.5,128.6,32.2
466,Electivire,Electric,511,1.8,305.6,138.6,42.8
467,Magmortar,Fire,503,1.6,149.9,68,26.6
468,Togekiss,"Fairy
 Flying",411,1.5,83.8,38,16.9
469,Yanmega,"Bug
 Flying",603,1.9,113.5,51.5,14.3
470,Leafeon,Grass,303,1,56.2,25.5,25.5
471,Glaceon,Ice,207,0.8,57.1,25.9,40.5
472,Gliscor,"Ground
 Flying",607,2,93.7,42.5,10.6
473,Mamoswine,"Ice
 Ground",802,2.5,641.5,291,46.6
474,Porygon-Z,Normal,211,0.9,75,34,42
475,Gallade,"Psychic
 Fighting",503,1.6,114.6,52,20.3
475,"Gallade
 Mega Gallade","Psychic
 Fighting",503,1.6,124.3,56.4,22
476,Probopass,"Rock
 Steel",407,1.4,749.6,340,173.5
477,Dusknoir,Ghost,703,2.2,235,106.6,22
478,Froslass,"Ice
 Ghost",403,1.3,58.6,26.6,15.7
479,Rotom,"Electric
 Ghost",100,0.3,0.7,0.3,3.3
479,"Rotom
 Heat Rotom","Electric
 Fire",100,0.3,0.7,0.3,3.3
479,"Rotom
 Wash Rotom","Electric
 Water",100,0.3,0.7,0.3,3.3
479,"Rotom
 Frost Rotom","Electric
 Ice",100,0.3,0.7,0.3,3.3
479,"Rotom
 Fan Rotom","Electric
 Flying",100,0.3,0.7,0.3,3.3
479,"Rotom
 Mow Rotom","Electric
 Grass",100,0.3,0.7,0.3,3.3
480,Uxie,Psychic,100,0.3,0.7,0.3,3.3
481,Mesprit,Psychic,100,0.3,0.7,0.3,3.3
482,Azelf,Psychic,100,0.3,0.7,0.3,3.3
483,Dialga,"Steel
 Dragon",1709,5.4,1505.8,683,23.4
483,"Dialga
 Origin Forme","Steel
 Dragon",2300,7,1873.9,850,17.3
484,Palkia,"Water
 Dragon",1309,4.2,740.8,336,19
484,"Palkia
 Origin Forme","Water
 Dragon",2008,6.3,1455,660,16.6
485,Heatran,"Fire
 Steel",507,1.7,948,430,148.8
486,Regigigas,Normal,1202,3.7,925.9,420,30.7
487,"Giratina
 Altered Forme","Ghost
 Dragon",1409,4.5,1653.5,750,37
487,"Giratina
 Origin Forme","Ghost
 Dragon",2208,6.9,1433,650,13.7
488,Cresselia,Psychic,411,1.5,188.7,85.6,38
489,Phione,Water,104,0.4,6.8,3.1,19.4
490,Manaphy,Water,100,0.3,3.1,1.4,15.6
491,Darkrai,Dark,411,1.5,111.3,50.5,22.4
492,"Shaymin
 Land Forme",Grass,8,0.2,4.6,2.1,52.5
492,"Shaymin
 Sky Forme","Grass
 Flying",104,0.4,11.5,5.2,32.5
493,Arceus,Normal,1006,3.2,705.5,320,31.3
494,Victini,"Psychic
 Fire",104,0.4,8.8,4,25
495,Snivy,Grass,200,0.6,17.9,8.1,22.5
496,Servine,Grass,207,0.8,35.3,16,25
497,Serperior,Grass,1010,3.3,138.9,63,5.8
498,Tepig,Fire,108,0.5,21.8,9.9,39.6
499,Pignite,"Fire
 Fighting",303,1,122.4,55.5,55.5
500,Emboar,"Fire
 Fighting",503,1.6,330.7,150,58.6
501,Oshawott,Water,108,0.5,13,5.9,23.6
502,Dewott,Water,207,0.8,54,24.5,38.3
503,Samurott,Water,411,1.5,208.6,94.6,42
503,"Samurott
 Hisuian Samurott","Water
 Dark",411,1.5,128.3,58.2,25.9
504,Patrat,Normal,108,0.5,25.6,11.6,46.4
505,Watchog,Normal,307,1.1,59.5,27,22.3
506,Lillipup,Normal,104,0.4,9,4.1,25.6
507,Herdier,Normal,211,0.9,32.4,14.7,18.1
508,Stoutland,Normal,311,1.2,134.5,61,42.4
509,Purrloin,Dark,104,0.4,22.3,10.1,63.1
510,Liepard,Dark,307,1.1,82.7,37.5,31
511,Pansage,Grass,200,0.6,23.1,10.5,29.2
512,Simisage,Grass,307,1.1,67.2,30.5,25.2
513,Pansear,Fire,200,0.6,24.3,11,30.6
514,Simisear,Fire,303,1,61.7,28,28
515,Panpour,Water,200,0.6,29.8,13.5,37.5
516,Simipour,Water,303,1,63.9,29,29
517,Munna,Psychic,200,0.6,51.4,23.3,64.7
518,Musharna,Psychic,307,1.1,133.4,60.5,50
519,Pidove,"Normal
 Flying",100,0.3,4.6,2.1,23.3
520,Tranquill,"Normal
 Flying",200,0.6,33.1,15,41.7
521,Unfezant,"Normal
 Flying",311,1.2,63.9,29,20.1
522,Blitzle,Electric,207,0.8,65.7,29.8,46.6
523,Zebstrika,Electric,503,1.6,175.3,79.5,31.1
524,Roggenrola,Rock,104,0.4,39.7,18,112.5
525,Boldore,Rock,211,0.9,224.9,102,125.9
526,Gigalith,Rock,507,1.7,573.2,260,90
527,Woobat,"Psychic
 Flying",104,0.4,4.6,2.1,13.1
528,Swoobat,"Psychic
 Flying",211,0.9,23.1,10.5,13
529,Drilbur,Ground,100,0.3,18.7,8.5,94.4
530,Excadrill,"Ground
 Steel",204,0.7,89.1,40.4,82.4
531,Audino,Normal,307,1.1,68.3,31,25.6
531,"Audino
 Mega Audino","Normal
 Fairy",411,1.5,70.5,32,14.2
532,Timburr,Fighting,200,0.6,27.6,12.5,34.7
533,Gurdurr,Fighting,311,1.2,88.2,40,27.8
534,Conkeldurr,Fighting,407,1.4,191.8,87,44.4
535,Tympole,Water,108,0.5,9.9,4.5,18
536,Palpitoad,"Water
 Ground",207,0.8,37.5,17,26.6
537,Seismitoad,"Water
 Ground",411,1.5,136.7,62,27.6
538,Throh,Fighting,403,1.3,122.4,55.5,32.8
539,Sawk,Fighting,407,1.4,112.4,51,26
540,Sewaddle,"Bug
 Grass",100,0.3,5.5,2.5,27.8
541,Swadloon,"Bug
 Grass",108,0.5,16.1,7.3,29.2
542,Leavanny,"Bug
 Grass",311,1.2,45.2,20.5,14.2
543,Venipede,"Bug
 Poison",104,0.4,11.7,5.3,33.1
544,Whirlipede,"Bug
 Poison",311,1.2,129,58.5,40.6
545,Scolipede,"Bug
 Poison",802,2.5,442,200.5,32.1
546,Cottonee,"Grass
 Fairy",100,0.3,1.3,0.6,6.7
547,Whimsicott,"Grass
 Fairy",204,0.7,14.6,6.6,13.5
548,Petilil,Grass,108,0.5,14.6,6.6,26.4
549,Lilligant,Grass,307,1.1,35.9,16.3,13.5
549,"Lilligant
 Hisuian Lilligant","Grass
 Fighting",311,1.2,42.3,19.2,13.3
550,"Basculin
 Red-Striped Form",Water,303,1,39.7,18,18
550,"Basculin
 Blue-Striped Form",Water,303,1,39.7,18,18
550,"Basculin
 White-Striped Form",Water,303,1,39.7,18,18
551,Sandile,"Ground
 Dark",204,0.7,33.5,15.2,31
552,Krokorok,"Ground
 Dark",303,1,73.6,33.4,33.4
553,Krookodile,"Ground
 Dark",411,1.5,212.3,96.3,42.8
554,Darumaka,Fire,200,0.6,82.7,37.5,104.2
554,"Darumaka
 Galarian Darumaka",Ice,204,0.7,88.2,40,81.6
555,"Darmanitan
 Standard Mode",Fire,403,1.3,204.8,92.9,55
555,"Darmanitan
 Zen Mode","Fire
 Psychic",403,1.3,204.8,92.9,55
555,"Darmanitan
 Galarian Standard Mode",Ice,507,1.7,264.6,120,41.5
555,"Darmanitan
 Galarian Zen Mode","Ice
 Fire",507,1.7,264.6,120,41.5
556,Maractus,Grass,303,1,61.7,28,28
557,Dwebble,"Bug
 Rock",100,0.3,32,14.5,161.1
558,Crustle,"Bug
 Rock",407,1.4,440.9,200,102
559,Scraggy,"Dark
 Fighting",200,0.6,26,11.8,32.8
560,Scrafty,"Dark
 Fighting",307,1.1,66.1,30,24.8
561,Sigilyph,"Psychic
 Flying",407,1.4,30.9,14,7.1
562,Yamask,Ghost,108,0.5,3.3,1.5,6
562,"Yamask
 Galarian Yamask","Ground
 Ghost",108,0.5,3.3,1.5,6
563,Cofagrigus,Ghost,507,1.7,168.7,76.5,26.5
564,Tirtouga,"Water
 Rock",204,0.7,36.4,16.5,33.7
565,Carracosta,"Water
 Rock",311,1.2,178.6,81,56.3
566,Archen,"Rock
 Flying",108,0.5,20.9,9.5,38
567,Archeops,"Rock
 Flying",407,1.4,70.5,32,16.3
568,Trubbish,Poison,200,0.6,68.3,31,86.1
569,Garbodor,Poison,603,1.9,236.6,107.3,29.7
570,Zorua,Dark,204,0.7,27.6,12.5,25.5
570,"Zorua
 Hisuian Zorua","Normal
 Ghost",204,0.7,27.6,12.5,25.5
571,Zoroark,Dark,503,1.6,178.8,81.1,31.7
571,"Zoroark
 Hisuian Zoroark","Normal
 Ghost",503,1.6,160.9,73,28.5
572,Minccino,Normal,104,0.4,12.8,5.8,36.3
573,Cinccino,Normal,108,0.5,16.5,7.5,30
574,Gothita,Psychic,104,0.4,12.8,5.8,36.3
575,Gothorita,Psychic,204,0.7,39.7,18,36.7
576,Gothitelle,Psychic,411,1.5,97,44,19.6
577,Solosis,Psychic,100,0.3,2.2,1,11.1
578,Duosion,Psychic,200,0.6,17.6,8,22.2
579,Reuniclus,Psychic,303,1,44.3,20.1,20.1
580,Ducklett,"Water
 Flying",108,0.5,12.1,5.5,22
581,Swanna,"Water
 Flying",403,1.3,53.4,24.2,14.3
582,Vanillite,Ice,104,0.4,12.6,5.7,35.6
583,Vanillish,Ice,307,1.1,90.4,41,33.9
584,Vanilluxe,Ice,403,1.3,126.8,57.5,34
585,Deerling,"Normal
 Grass",200,0.6,43,19.5,54.2
586,Sawsbuck,"Normal
 Grass",603,1.9,203.9,92.5,25.6
587,Emolga,"Electric
 Flying",104,0.4,11,5,31.3
588,Karrablast,Bug,108,0.5,13,5.9,23.6
589,Escavalier,"Bug
 Steel",303,1,72.8,33,33
590,Foongus,"Grass
 Poison",8,0.2,2.2,1,25
591,Amoonguss,"Grass
 Poison",200,0.6,23.1,10.5,29.2
592,Frillish,"Water
 Ghost",311,1.2,72.8,33,22.9
593,Jellicent,"Water
 Ghost",703,2.2,297.6,135,27.9
594,Alomomola,Water,311,1.2,69.7,31.6,21.9
595,Joltik,"Bug
 Electric",4,0.1,1.3,0.6,60
596,Galvantula,"Bug
 Electric",207,0.8,31.5,14.3,22.3
597,Ferroseed,"Grass
 Steel",200,0.6,41.4,18.8,52.2
598,Ferrothorn,"Grass
 Steel",303,1,242.5,110,110
599,Klink,Steel,100,0.3,46.3,21,233.3
600,Klang,Steel,200,0.6,112.4,51,141.7
601,Klinklang,Steel,200,0.6,178.6,81,225
602,Tynamo,Electric,8,0.2,0.7,0.3,7.5
603,Eelektrik,Electric,311,1.2,48.5,22,15.3
604,Eelektross,Electric,611,2.1,177.5,80.5,18.3
605,Elgyem,Psychic,108,0.5,19.8,9,36
606,Beheeyem,Psychic,303,1,76.1,34.5,34.5
607,Litwick,"Ghost
 Fire",100,0.3,6.8,3.1,34.4
608,Lampent,"Ghost
 Fire",200,0.6,28.7,13,36.1
609,Chandelure,"Ghost
 Fire",303,1,75.6,34.3,34.3
610,Axew,Dragon,200,0.6,39.7,18,50
611,Fraxure,Dragon,303,1,79.4,36,36
612,Haxorus,Dragon,511,1.8,232.6,105.5,32.6
613,Cubchoo,Ice,108,0.5,18.7,8.5,34
614,Beartic,Ice,806,2.6,573.2,260,38.5
615,Cryogonal,Ice,307,1.1,326.3,148,122.3
616,Shelmet,Bug,104,0.4,17,7.7,48.1
617,Accelgor,Bug,207,0.8,55.8,25.3,39.5
618,Stunfisk,"Ground
 Electric",204,0.7,24.3,11,22.4
618,"Stunfisk
 Galarian Stunfisk","Ground
 Steel",204,0.7,45.2,20.5,41.8
619,Mienfoo,Fighting,211,0.9,44.1,20,24.7
620,Mienshao,Fighting,407,1.4,78.3,35.5,18.1
621,Druddigon,Dragon,503,1.6,306.4,139,54.3
622,Golett,"Ground
 Ghost",303,1,202.8,92,92
623,Golurk,"Ground
 Ghost",902,2.8,727.5,330,42.1
624,Pawniard,"Dark
 Steel",108,0.5,22.5,10.2,40.8
625,Bisharp,"Dark
 Steel",503,1.6,154.3,70,27.3
626,Bouffalant,Normal,503,1.6,208.6,94.6,37
627,Rufflet,"Normal
 Flying",108,0.5,23.1,10.5,42
628,Braviary,"Normal
 Flying",411,1.5,90.4,41,18.2
628,"Braviary
 Hisuian Braviary","Psychic
 Flying",507,1.7,95.7,43.4,15
629,Vullaby,"Dark
 Flying",108,0.5,19.8,9,36
630,Mandibuzz,"Dark
 Flying",311,1.2,87.1,39.5,27.4
631,Heatmor,Fire,407,1.4,127.9,58,29.6
632,Durant,"Bug
 Steel",100,0.3,72.8,33,366.7
633,Deino,"Dark
 Dragon",207,0.8,38.1,17.3,27
634,Zweilous,"Dark
 Dragon",407,1.4,110.2,50,25.5
635,Hydreigon,"Dark
 Dragon",511,1.8,352.7,160,49.4
636,Larvesta,"Bug
 Fire",307,1.1,63.5,28.8,23.8
637,Volcarona,"Bug
 Fire",503,1.6,101.4,46,18
638,Cobalion,"Steel
 Fighting",611,2.1,551.2,250,56.7
639,Terrakion,"Rock
 Fighting",603,1.9,573.2,260,72
640,Virizion,"Grass
 Fighting",607,2,440.9,200,50
641,"Tornadus
 Incarnate Forme",Flying,411,1.5,138.9,63,28
641,"Tornadus
 Therian Forme",Flying,407,1.4,138.9,63,32.1
642,"Thundurus
 Incarnate Forme","Electric
 Flying",411,1.5,134.5,61,27.1
642,"Thundurus
 Therian Forme","Electric
 Flying",910,3,134.5,61,6.8
643,Reshiram,"Dragon
 Fire",1006,3.2,727.5,330,32.2
644,Zekrom,"Dragon
 Electric",906,2.9,760.6,345,41
645,"Landorus
 Incarnate Forme","Ground
 Flying",411,1.5,149.9,68,30.2
645,"Landorus
 Therian Forme","Ground
 Flying",403,1.3,149.9,68,40.2
646,Kyurem,"Dragon
 Ice",910,3,716.5,325,36.1
646,"Kyurem
 Black Kyurem","Dragon
 Ice",1010,3.3,716.5,325,29.8
646,"Kyurem
 White Kyurem","Dragon
 Ice",1110,3.6,716.5,325,25.1
647,"Keldeo
 Ordinary Form","Water
 Fighting",407,1.4,106.9,48.5,24.7
647,"Keldeo
 Resolute Form","Water
 Fighting",407,1.4,106.9,48.5,24.7
648,"Meloetta
 Aria Forme","Normal
 Psychic",200,0.6,14.3,6.5,18.1
648,"Meloetta
 Pirouette Forme","Normal
 Fighting",200,0.6,14.3,6.5,18.1
649,Genesect,"Bug
 Steel",411,1.5,181.9,82.5,36.7
650,Chespin,Grass,104,0.4,19.8,9,56.3
651,Quilladin,Grass,204,0.7,63.9,29,59.2
652,Chesnaught,"Grass
 Fighting",503,1.6,198.4,90,35.2
653,Fennekin,Fire,104,0.4,20.7,9.4,58.8
654,Braixen,Fire,303,1,32,14.5,14.5
655,Delphox,"Fire
 Psychic",411,1.5,86,39,17.3
656,Froakie,Water,100,0.3,15.4,7,77.8
657,Frogadier,Water,200,0.6,24,10.9,30.3
658,Greninja,"Water
 Dark",411,1.5,88.2,40,17.8
658,"Greninja
 Ash-Greninja","Water
 Dark",411,1.5,88.2,40,17.8
659,Bunnelby,Normal,104,0.4,11,5,31.3
660,Diggersby,"Normal
 Ground",303,1,93.5,42.4,42.4
661,Fletchling,"Normal
 Flying",100,0.3,3.7,1.7,18.9
662,Fletchinder,"Fire
 Flying",204,0.7,35.3,16,32.7
663,Talonflame,"Fire
 Flying",311,1.2,54,24.5,17
664,Scatterbug,Bug,100,0.3,5.5,2.5,27.8
665,Spewpa,Bug,100,0.3,18.5,8.4,93.3
666,Vivillon,"Bug
 Flying",311,1.2,37.5,17,11.8
667,Litleo,"Fire
 Normal",200,0.6,29.8,13.5,37.5
668,Pyroar,"Fire
 Normal",411,1.5,179.7,81.5,36.2
669,Flabebe,Fairy,4,0.1,0.2,0.1,10
670,Floette,Fairy,8,0.2,2,0.9,22.5
671,Florges,Fairy,307,1.1,22,10,8.3
672,Skiddo,Grass,211,0.9,68.3,31,38.3
673,Gogoat,Grass,507,1.7,200.6,91,31.5
674,Pancham,Fighting,200,0.6,17.6,8,22.2
675,Pangoro,"Fighting
 Dark",611,2.1,299.8,136,30.8
676,Furfrou,Normal,311,1.2,61.7,28,19.4
677,Espurr,Psychic,100,0.3,7.7,3.5,38.9
678,"Meowstic
 Male",Psychic,200,0.6,18.7,8.5,23.6
678,"Meowstic
 Female",Psychic,200,0.6,18.7,8.5,23.6
679,Honedge,"Steel
 Ghost",207,0.8,4.4,2,3.1
680,Doublade,"Steel
 Ghost",207,0.8,9.9,4.5,7
681,"Aegislash
 Shield Forme","Steel
 Ghost",507,1.7,116.8,53,18.3
681,"Aegislash
 Blade Forme","Steel
 Ghost",507,1.7,116.8,53,18.3
682,Spritzee,Fairy,8,0.2,1.1,0.5,12.5
683,Aromatisse,Fairy,207,0.8,34.2,15.5,24.2
684,Swirlix,Fairy,104,0.4,7.7,3.5,21.9
685,Slurpuff,Fairy,207,0.8,11,5,7.8
686,Inkay,"Dark
 Psychic",104,0.4,7.7,3.5,21.9
687,Malamar,"Dark
 Psychic",411,1.5,103.6,47,20.9
688,Binacle,"Rock
 Water",108,0.5,68.3,31,124
689,Barbaracle,"Rock
 Water",403,1.3,211.6,96,56.8
690,Skrelp,"Poison
 Water",108,0.5,16.1,7.3,29.2
691,Dragalge,"Poison
 Dragon",511,1.8,179.7,81.5,25.2
692,Clauncher,Water,108,0.5,18.3,8.3,33.2
693,Clawitzer,Water,403,1.3,77.8,35.3,20.9
694,Helioptile,"Electric
 Normal",108,0.5,13.2,6,24
695,Heliolisk,"Electric
 Normal",303,1,46.3,21,21
696,Tyrunt,"Rock
 Dragon",207,0.8,57.3,26,40.6
697,Tyrantrum,"Rock
 Dragon",802,2.5,595.2,270,43.2
698,Amaura,"Rock
 Ice",403,1.3,55.6,25.2,14.9
699,Aurorus,"Rock
 Ice",810,2.7,496,225,30.9
700,Sylveon,Fairy,303,1,51.8,23.5,23.5
701,Hawlucha,"Fighting
 Flying",207,0.8,47.4,21.5,33.6
702,Dedenne,"Electric
 Fairy",8,0.2,4.9,2.2,55
703,Carbink,"Rock
 Fairy",100,0.3,12.6,5.7,63.3
704,Goomy,Dragon,100,0.3,6.2,2.8,31.1
705,Sliggoo,Dragon,207,0.8,38.6,17.5,27.3
705,"Sliggoo
 Hisuian Sliggoo","Dragon
 Steel",204,0.7,151,68.5,139.8
706,Goodra,Dragon,607,2,331.8,150.5,37.6
706,"Goodra
 Hisuian Goodra","Dragon
 Steel",507,1.7,736.6,334.1,115.6
707,Klefki,"Steel
 Fairy",8,0.2,6.6,3,75
